71,三只草履虫,东北农业大学,-,"+2
42",-,"+2
182",-,-2,-,-,4,232,"+4
99",-
72,亦一试，吾毅势,哈尔滨工程大学,-,48,-,"+1
113",-,-3,-,-,5,"+3
281","+3
132",-
73,因为怕WA所以想让AC酱狠狠拷打我,哈尔滨工程大学,-,"+2
134",-,"+3
235",-,-,-,-,5,160,"+1
83",-
74,曼巴不淘汰,东北林业大学,-,34,-,"+2
134",-,-,-,-,74,"+1
291",172,-
75,X战警,黑龙江工程学院,-,21,-,"+9
270",-,-,-,-,6,"+1
261",41,-
76,红烧杰尼龟,东北林业大学,-,"+1
198",-,"+3
239",-,-,-,-,10,299,71,-
77,没AC的代码也是有生命的吗？,东北石油大学,-,"+9
151",-,"+8
117",-,-28,-,-,3,260,48,-
78,完蛋我被TLE包围了,长春工业大学,-,"+3
146",-,"+2
245",-,-,-,-,7,"+2
292",187,-
79,啊对对对队,佳木斯大学,-,"+5
92",-,"+1
251",-,-,-,-,3,"+2
292","+1
209",-
80,队名是接口,东北林业大学,-,"+5
112",-,"+11
263",-,-,-3,-,9,"+3
279",74,-
81,哈商大3队,哈尔滨商业大学,-,53,-,140,-,-,-,-,4,-3,107,-
82,好想和你凑一队,黑龙江工程学院,-,66,-,148,-,-,-,-,20,-5,105,-
83,Lucky Stars,佳木斯大学,-,35,-,"+4
170",-,-,-,-,4,-,57,-
84,时间超限,哈尔滨华德学院,-,"+3
83",-,111,-,-7,-,-,4,-3,92,-
85,但使龙城飞将在 ,黑龙江大学,-,53,-,"+3
194",-,-,-,-,4,-3,"+1
163",-
86,蛋仔派,东北林业大学,-,47,-,"+2
214",-,-,-,-,54,-,147,-
87,哈理工2024S13,哈尔滨理工大学,-,"+3
111",-,-11,-,-,-,-,2,"+1
259",125,-
88,再多看一眼就会AC,黑河学院,-,"+1
25",-,-,-,-,-,-,4,"+3
253","+1
214",-
89,就这个AC爽,东北林业大学,-,"+1
91",-,-7,-,-,-,-,35,"+2
294",124,-
90,AA赛博芙蓉王源不会厚乳电子尼古丁真!?,齐齐哈尔大学,-,"+1
142",-,-9,-,-,-,-,16,287,177,-
91,我会解贪心但却解不开你的心,东北农业大学,-,-19,-,"+1
189",-,-,-,-,4,284,168,-
92,这一定是测评机干的,东北农业大学,-,"+6
299",-,146,-,-,-,-,4,-,129,-
93,拉文克劳,哈尔滨华德学院,-,"+2
104",-,"+6
278",-,-,-,-,4,-,173,-
94,大庆实验中学3,大庆实验中学,-,"+3
132",-,"+8
286",-,-,-,-,23,-,160,-
95,大庆师范学院4队,大庆师范学院,-,"+2
250",-,-1,-,-,-,-,10,"+1
268","+1
218",-
96,哈理工2024S12,哈尔滨理工大学,-,"+11
271",-,-12,-,-,-,-,20,"+6
279",65,-
97,黎明,哈尔滨华德学院,-,"+1
29",-,-29,-,-,-,-,6,-,72,-
98,青春猪头少年不会梦到娇怜签到题,哈尔滨学院,-,23,-,-6,-,-,-,-,4,-4,"+1
84",-
99,入梦,牡丹江师范学院,-,"+1
24",-,-14,-,-3,-,-,1,-1,93,-
100,大庆兰德学校弘毅1队,大庆市兰德学校,-,"+1
34",-,-6,-,-,-,-,3,-,96,-
101,大庆兰德学校弘毅3队,大庆市兰德学校,-,75,-,-10,-,-,-,-,9,-2,88,-
102,过了样例就算队,黑龙江工程学院,-1,26,-1,-7,-1,-1,-1,-1,3,-1,160,-1
103,Sorry！我女秒了全世界,佳木斯大学,-,"+1
41",-,-8,-,-,-,-,"+1
21",-,87,-
104,蛙声一片后ac,黑龙江工程学院,-,33,-,-7,-,-,-,-,7,-,"+2
139",-
105,AC不了一点,黑河学院,-,67,-,-,-,-,-,-,15,-,188,-
106,完蛋我被RE包围了,长春工业大学,-,"+2
65",-,-6,-,-,-,-,6,-,188,-
107,听取WA声一片队,哈尔滨师范大学,-,"+2
163",-,-2,-,-,-,-,9,-,93,-
108,别指望我们队,哈尔滨学院,-,"+1
80",-,-9,-,-,-,-,16,-,232,-
109,哈理工2024S03,哈尔滨理工大学,-,-13,-,"+2
206",-,-,-,-,13,-,121,-
